date,cases,prec,tmin,tmax,rh,tmean,dewmean,sst
2017-01-15,408.0,88.1206,15.5862,23.7331,86.7629697851067,18.931885714285716,16.675900000000002,21.02115714285714
2017-01-22,479.0,60.204,15.6109,25.5803,82.49217526136808,19.513985714285717,16.44727142857143,21.600157142857142
2017-01-29,452.0,82.7295,15.8692,25.2056,85.44526897885203,19.253757142857143,16.74452857142857,22.797857142857143
2017-02-05,605.0,57.4251,15.9739,25.2811,83.37198395989893,19.79747142857143,16.895928571428573,23.228442857142856
2017-02-12,725.0,56.4759,16.4096,25.041,83.31550621866577,20.00745714285714,17.089742857142856,22.584085714285713
2017-02-19,918.0,67.7162,15.962,24.7013,84.41734915380472,19.308157142857144,16.61244285714286,22.77662857142857
2017-02-26,645.0,91.321,15.9066,24.3729,87.03076663269728,19.030671428571427,16.818714285714286,22.84017142857143
2017-03-05,838.0,73.8021,16.0283,24.9893,85.13403783276858,19.3611,16.792442857142856,23.913214285714282
2017-03-12,1071.0,73.6164,16.0254,24.8611,86.0186859953739,19.4069,17.005157142857144,23.616585714285716
2017-03-19,1223.0,84.4293,15.7534,24.9083,85.21401488501292,19.31627142857143,16.76432857142857,24.01158571428571
2017-03-26,1508.0,67.4248,16.17,24.9731,84.58153389298116,19.460842857142858,16.7896,23.12215714285714
2017-04-02,2265.0,67.8127,15.5278,24.6458,86.26898415040583,19.30147142857143,16.948614285714285,22.402271428571428
2017-04-09,2181.0,49.0992,15.5615,25.1502,82.64050491412443,19.598857142857145,16.562157142857142,20.588600000000003
2017-04-16,2480.0,63.2121,14.9447,24.9033,83.76873598453965,19.14164285714286,16.323742857142857,20.43492857142857
2017-04-23,3762.0,46.6817,15.2387,25.2692,82.71246696821213,19.29897142857143,16.281214285714288,20.504357142857145
2017-04-30,3520.0,50.9049,14.6878,25.2768,82.59969859897919,18.7857,15.75792857142857,20.219614285714282
2017-05-07,4294.0,41.3315,14.6695,24.5782,81.00166235771424,19.138342857142856,15.796657142857145,20.058042857142855
2017-05-14,6191.0,36.82,14.7823,25.547,81.31253798250914,19.294271428571427,16.006742857142857,20.354585714285715
2017-05-21,11070.0,36.2493,14.6309,24.9884,79.89564612708466,19.109085714285715,15.556042857142858,19.3942
2017-05-28,8024.0,43.3285,15.2333,23.3348,83.6813878732114,18.733542857142854,15.913514285714285,19.307457142857142
2017-06-04,5131.0,33.7383,13.865,23.462,80.3226572994356,18.215885714285715,14.765642857142856,19.413171428571427
2017-06-11,3809.0,30.1648,13.7909,24.7257,78.3487509363915,18.549142857142858,14.705542857142857,19.210585714285713
2017-06-18,2786.0,20.0784,13.1363,24.6133,73.1311413491575,18.363785714285715,13.458228571428572,18.836785714285714
2017-06-25,1903.0,26.716499999999996,12.9861,24.3448,75.01572816230161,17.891,13.394628571428571,18.728857142857144
2017-07-02,601.0,30.157600000000002,13.3977,24.1519,78.5289042788056,18.11432857142857,14.314828571428572,18.60065714285714
2017-07-09,181.0,16.7058,12.5429,23.55,74.5595795234923,17.54202857142857,12.964342857142857,18.220614285714284
2017-07-16,1208.0,5.2988,12.1323,24.8372,70.70077426362252,18.122357142857144,12.714257142857141,18.200614285714288
2017-07-23,1205.0,13.2447,10.6365,24.9171,67.32012966317407,17.038685714285716,10.917557142857143,17.67854285714286
2017-07-30,601.0,9.8951,13.0135,24.9464,67.44376304005196,18.317614285714285,12.182485714285715,17.819300000000002
